Locality	Population Density	Taxes	Income
4101	1823	160155011.6	869075770.5
4102	1823	160155011.6	869075770.5
4120	315	60679954.75	221575567.1
4121	315	60679954.75	221575567.1
4122	315	60679954.75	221575567.1
4130	376	68270509.61	265171230.3
4140	203	68014756.95	277460292.7
4141	203	68014756.95	277460292.7
4160	113	19193433.7	77992623.24
4161	113	19193433.7	77992623.24
4162	113	19193433.7	77992623.24
4163	113	19193433.7	77992623.24
4170	235	17383138.09	84838943.11
4171	235	17383138.09	84838943.11
4180	136	13250199.83	62626676.14
4181	136	13250199.83	62626676.14
4190	90	19329334.83	85524342.14
4210	101	15177666.56	59737025.17
4217	146	23209680.95	93559153.62
4218	146	23209680.95	93559153.62
4219	128	11437405.02	49038541.86
4250	151	15890187.92	62517543.42
4252	151	15890187.92	62517543.42
4253	151	15890187.92	62517543.42
4254	151	15890187.92	62517543.42
4257	230	13750539.31	56108921.56
4260	149	27179674.76	112703625
4261	149	27179674.76	112703625
4263	149	27179674.76	112703625
4280	198	72135989.48	295380095.5
4287	229	14373546.27	60195431.49
4300	501	63008173.79	270806929.6
4317	145	19513673.84	75522211.51
4340	343	39834976.89	167343184.6
4342	343	39834976.89	167343184.6
4347	176	14807545.97	60717086.27
4350	263	26974694.67	109476063
4351	263	26974694.67	109476063
4357	133	15506620.02	60280421.87
4360	207	16085980.19	69182273.99
4367	209	15451839.99	62022000.97
4400	738	79891672.64	399959924.3
4420	3546	53337807.39	312267540.4
4430	1242	94386683.57	447190994.9
4431	1242	94386683.57	447190994.9
4432	1242	94386683.57	447190994.9
4450	274	40226910	169526046.1
4451	274	40226910	169526046.1
4452	274	40226910	169526046.1
4453	274	40226910	169526046.1
4458	274	40226910	169526046.1
4460	681	63259591.72	329211604.4
4470	345	24238722.35	112293430.8
4480	227	17758209.53	89078303.51
4500	456	74158031.96	340902649.1
4520	318	57193905.55	242858016.2
4530	208	28554001.36	117693584.2
4537	179	19496212.85	77203983.58
4540	525	48097091.83	225451352.1
4550	159	33879642.89	124656392.9
4557	75	12377245.23	49589130.4
4560	62	18320533.42	80249511.7
4570	186	21980862.22	93666124.64
4577	104	18476968.54	75258420.76
4590	69	10662733.46	47465842.14
4600	655	61693323.58	284888093.1
4601	655	61693323.58	284888093.1
4602	655	61693323.58	284888093.1
4606	214	32482572	136750257
4607	214	32482572	136750257
4608	214	32482572	136750257
4610	1650	38246955.51	186109246.2
4620	1197	55255256.91	265550646.1
4621	1197	55255256.91	265550646.1
4623	1197	55255256.91	265550646.1
4624	1197	55255256.91	265550646.1
4630	638	63723586.09	282182729.9
4631	638	63723586.09	282182729.9
4632	638	63723586.09	282182729.9
4633	638	63723586.09	282182729.9
4650	314	71507955.21	308095973.1
4651	314	71507955.21	308095973.1
4652	314	71507955.21	308095973.1
4653	314	71507955.21	308095973.1
4654	314	71507955.21	308095973.1
4670	517	58634615.25	244939706.7
4671	517	58634615.25	244939706.7
4672	517	58634615.25	244939706.7
4680	713	86847188.64	409368892.7
4681	713	86847188.64	409368892.7
4682	713	86847188.64	409368892.7
4683	713	86847188.64	409368892.7
4684	713	86847188.64	409368892.7
4690	236	32468751.32	151656799.1
4700	209	65669898.31	327333425.7
4701	209	65669898.31	327333425.7
4710	211	15976035.56	95215658.84
4711	211	15976035.56	95215658.84
4720	629	19163161.14	166301557.8
4721	629	19163161.14	166301557.8
4728	629	19163161.14	166301557.8
4730	153	19970435.5	193871070.9
4731	153	19970435.5	193871070.9
4750	58	14189750.41	86948661.77
4760	37	12771776.88	84442581.47
4761	37	12771776.88	84442581.47
4770	45	12722793.97	86026237.56
4771	45	12722793.97	86026237.56
4780	68	23747795.04	162406879.1
4782	68	23747795.04	162406879.1
4783	68	23747795.04	162406879.1
4784	68	23747795.04	162406879.1
4790	36	5310258.209	62172298.16
4791	36	5310258.209	62172298.16
4800	1690	148131823.7	759024257.8
4801	1690	148131823.7	759024257.8
4802	1690	148131823.7	759024257.8
4820	1092	31647834.07	182196649.4
4821	1092	31647834.07	182196649.4
4830	229	19724807.64	93895610.81
4831	229	19724807.64	93895610.81
4834	229	19724807.64	93895610.81
4837	52	16625385.94	75818399.01
4840	423	34528422.38	165265653.2
4841	423	34528422.38	165265653.2
4845	82	38404184.21	161135709.3
4850	203	26237557.74	160178678.9
4851	203	26237557.74	160178678.9
4852	203	26237557.74	160178678.9
4860	373	32497966.68	153388987.5
4861	373	32497966.68	153388987.5
4870	258	20622730.06	81116399.8
4877	258	20622730.06	81116399.8
4880	226	16679486.83	75224058.11
4890	195	24227432.1	101660754
4900	246	35853962.52	172891137.1
4910	144	51910387.19	220893780.8
4920	161	44226268.46	203088892.7
4950	78	21552920.69	115011713.3
4960	129	40254305.43	204099019.4
4970	85	23521675.06	114281659.3
4980	37	8069933.343	40676672.29
4983	37	8069933.343	40676672.29
4987	29	12584522.82	55065968.01
4990	39	11497920.93	57544524.01
5000	649	457993972.2	1913775828
5001	649	457993972.2	1913775828
5002	649	457993972.2	1913775828
5003	649	457993972.2	1913775828
5004	649	457993972.2	1913775828
5010	649	457993972.2	1913775828
5012	649	457993972.2	1913775828
5020	649	457993972.2	1913775828
5021	649	457993972.2	1913775828
5022	649	457993972.2	1913775828
5024	649	457993972.2	1913775828
5030	275	120838820	472688905.8
5031	275	120838820	472688905.8
5032	275	120838820	472688905.8
5060	835	86732337.84	429425532.1
5070	165	38198297.15	169252927.5
5080	176	48398219.42	181328352.1
5081	176	48398219.42	181328352.1
5100	649	457993972.2	1913775828
5101	649	457993972.2	1913775828
5140	234	35342531.46	146407570.4
5150	207	34880341.52	143636352.2
5170	245	55353773.2	223511564.7
5190	410	68349958.02	311005284.9
5300	327	88735471.36	416770857
5310	163	73954572.93	297975450.7
5330	93	33300193.07	130163469.1
5332	93	33300193.07	130163469.1
5333	93	33300193.07	130163469.1
5334	93	33300193.07	130163469.1
5336	93	33300193.07	130163469.1
5340	115	32822070.18	130383592.5
5350	92	18467949.69	81984818.01
5351	92	18467949.69	81984818.01
5352	92	18467949.69	81984818.01
5353	92	18467949.69	81984818.01
5354	92	18467949.69	81984818.01
5360	98	28735115.23	122870577.6
5361	98	28735115.23	122870577.6
5362	98	28735115.23	122870577.6
5363	98	28735115.23	122870577.6
5364	98	28735115.23	122870577.6
5370	52	17875932.73	82876363.93
5372	52	17875932.73	82876363.93
5374	52	17875932.73	82876363.93
5376	52	17875932.73	82876363.93
5377	64	17572316.95	85871447.08
5380	125	36469481.76	144063755.7
5500	133	42133569.95	205778304.2
5501	133	42133569.95	205778304.2
5502	133	42133569.95	205778304.2
5503	133	42133569.95	205778304.2
5504	133	42133569.95	205778304.2
5520	49	10954086.58	51725833.34
5521	49	10954086.58	51725833.34
5522	49	10954086.58	51725833.34
5523	49	10954086.58	51725833.34
5524	49	10954086.58	51725833.34
5530	160	39072501.7	162858008.8
5537	108	24479521.09	115085251.8
5540	109	13858343.19	83534151.18
5541	109	13858343.19	83534151.18
5542	109	13858343.19	83534151.18
5543	109	13858343.19	83534151.18
5544	109	13858343.19	83534151.18
5550	24	6461612.787	38446685.22
5555	32	8607989.735	48020462.18
5560	42	15433144.18	75714114.83
5561	42	15433144.18	75714114.83
5562	42	15433144.18	75714114.83
5563	42	15433144.18	75714114.83
5564	42	15433144.18	75714114.83
5570	54	26283349.48	135033961.9
5571	54	26283349.48	135033961.9
5572	54	26283349.48	135033961.9
5573	54	26283349.48	135033961.9
5574	54	26283349.48	135033961.9
5575	31	12726645.45	68691026.82
5576	54	26283349.48	135033961.9
5580	76	39491181.99	193321949.6
5589	76	39491181.99	193321949.6
5590	116	57728069.8	266487352
5600	61	28410936.79	141718703.2
5620	85	37818123.26	178606185
5621	85	37818123.26	178606185
5630	60	15489068.73	75786256.9
5640	116	49245912.93	217905929.8
5641	116	49245912.93	217905929.8
5644	116	49245912.93	217905929.8
5646	116	49245912.93	217905929.8
5650	149	72663857.45	317816281.8
5651	149	72663857.45	317816281.8
5660	67	36598653.83	197855166.2
5670	47	14912948.76	83012666.99
5680	35	7997088.135	43366751.55
6000	1985	464265531.7	2625408378
6001	1985	464265531.7	2625408378
6010	1985	464265531.7	2625408378
6020	1985	464265531.7	2625408378
6030	1985	464265531.7	2625408378
6031	1985	464265531.7	2625408378
6032	1985	464265531.7	2625408378
6040	1985	464265531.7	2625408378
6041	1985	464265531.7	2625408378
